t,v,n,u
1338740119308, -0.2,myVeryOwnSensor,m
1338740120440, -0.2,myVeryOwnSensor,m
1338740121613, -0.2,myVeryOwnSensor,m
1338740122715, -0.2,myVeryOwnSensor,m
1338740123025, -0.2,myVeryOwnSensor,m
1338740123286, -0.2,myVeryOwnSensor,m
1338740123589, -0.2,myVeryOwnSensor,m
1338740123979, -0.2,myVeryOwnSensor,m
1338740124265, -0.2,myVeryOwnSensor,m
1338740124556, -0.2,myVeryOwnSensor,m
1338740124859, -0.2,myVeryOwnSensor,m
1338740125186, -0.2,myVeryOwnSensor,m
1338740125498, -0.2,myVeryOwnSensor,m
1338740125799, -0.2,myVeryOwnSensor,m
1338740126079, -0.2,myVeryOwnSensor,m
1338740126428, -0.2,myVeryOwnSensor,m
1338740126687, -0.2,myVeryOwnSensor,m
1338740126973, -0.2,myVeryOwnSensor,m
1338740127284, -0.2,myVeryOwnSensor,m
1338740127573, -0.2,myVeryOwnSensor,m
1338740127850, -0.2,myVeryOwnSensor,m
1338740128191, -0.2,myVeryOwnSensor,m
1338740128488, -0.1,myVeryOwnSensor,m
1338740128790, -0.2,myVeryOwnSensor,m
1338740129099, -0.1,myVeryOwnSensor,m
1338740129357, -0.2,myVeryOwnSensor,m
1338740129658, -0.1,myVeryOwnSensor,m
1338740129959, -0.1,myVeryOwnSensor,m
1338740130261, -0.2,myVeryOwnSensor,m
1338740130574, -0.2,myVeryOwnSensor,m
1338740130851, -0.2,myVeryOwnSensor,m
1338740131193, -0.1,myVeryOwnSensor,m
1338740131477, -0.1,myVeryOwnSensor,m
1338740131780, -0.1,myVeryOwnSensor,m
1338740132080, -0.2,myVeryOwnSensor,m
1338740132394, -0.2,myVeryOwnSensor,m
1338740132705, -0.2,myVeryOwnSensor,m
1338740133145, -0.1,myVeryOwnSensor,m
1338740133310, 0.0,myVeryOwnSensor,m
1338740133577, 0.1,myVeryOwnSensor,m
1338740133893, 0.1,myVeryOwnSensor,m
1338740134195, 0.1,myVeryOwnSensor,m
1338740134507, 0.1,myVeryOwnSensor,m
1338740134799, 0.0,myVeryOwnSensor,m
1338740135188, 0.0,myVeryOwnSensor,m
1338740135391, 0.0,myVeryOwnSensor,m
1338740135715, 0.1,myVeryOwnSensor,m
1338740136009, 0.1,myVeryOwnSensor,m
1338740136310, 0.1,myVeryOwnSensor,m
1338740136623, 0.0,myVeryOwnSensor,m
1338740136899, 0.0,myVeryOwnSensor,m
1338740137251, 0.1,myVeryOwnSensor,m
1338740137503, 0.1,myVeryOwnSensor,m
1338740137792, 0.1,myVeryOwnSensor,m
1338740138099, 0.0,myVeryOwnSensor,m
1338740138401, 0.0,myVeryOwnSensor,m
1338740138764, 0.0,myVeryOwnSensor,m
1338740139000, 0.1,myVeryOwnSensor,m
1338740139314, 0.0,myVeryOwnSensor,m
1338740139623, 0.0,myVeryOwnSensor,m
1338740139926, 0.0,myVeryOwnSensor,m
1338740140214, 0.1,myVeryOwnSensor,m
1338740140526, 0.1,myVeryOwnSensor,m
1338740140819, 0.0,myVeryOwnSensor,m
1338740141149, 0.1,myVeryOwnSensor,m
1338740141458, 0.1,myVeryOwnSensor,m
1338740141717, 0.1,myVeryOwnSensor,m
1338740142017, 0.0,myVeryOwnSensor,m
1338740142428, 0.1,myVeryOwnSensor,m
1338740142636, 0.0,myVeryOwnSensor,m
1338740142926, 0.1,myVeryOwnSensor,m
1338740143249, 0.1,myVeryOwnSensor,m
1338740143533, 0.1,myVeryOwnSensor,m
1338740143809, 0.1,myVeryOwnSensor,m
1338740144089, 0.1,myVeryOwnSensor,m
1338740144436, 0.1,myVeryOwnSensor,m
1338740144739, 0.2,myVeryOwnSensor,m
1338740145052, 0.2,myVeryOwnSensor,m
1338740145312, 0.2,myVeryOwnSensor,m
1338740145662, 0.2,myVeryOwnSensor,m
1338740145911, 0.2,myVeryOwnSensor,m
1338740146222, 0.2,myVeryOwnSensor,m
1338740146506, 0.2,myVeryOwnSensor,m
1338740146833, 0.2,myVeryOwnSensor,m
1338740147141, 0.2,myVeryOwnSensor,m
1338740147426, 0.2,myVeryOwnSensor,m
1338740147766, 0.2,myVeryOwnSensor,m
1338740148023, 0.2,myVeryOwnSensor,m
1338740148326, 0.2,myVeryOwnSensor,m
1338740148612, 0.2,myVeryOwnSensor,m
1338740148918, 0.2,myVeryOwnSensor,m
1338740149236, 0.2,myVeryOwnSensor,m
1338740149540, 0.2,myVeryOwnSensor,m
1338740149817, 0.2,myVeryOwnSensor,m
1338740150129, 0.2,myVeryOwnSensor,m
1338740150429, 0.2,myVeryOwnSensor,m
1338740150740, 0.2,myVeryOwnSensor,m
1338740151050, 0.2,myVeryOwnSensor,m
1338740151337, 0.2,myVeryOwnSensor,m
1338740151889, 0.2,myVeryOwnSensor,m
1338740151949, 0.2,myVeryOwnSensor,m
1338740152287, 0.2,myVeryOwnSensor,m
1338740152628, 0.2,myVeryOwnSensor,m
1338740153023, 0.2,myVeryOwnSensor,m
1338740153357, 0.2,myVeryOwnSensor,m
1338740153719, 0.2,myVeryOwnSensor,m
1338740154057, 0.2,myVeryOwnSensor,m
1338740154114, 0.2,myVeryOwnSensor,m
1338740154443, 0.2,myVeryOwnSensor,m
1338740154779, 0.2,myVeryOwnSensor,m
1338740155167, 0.2,myVeryOwnSensor,m
1338740155525, 0.2,myVeryOwnSensor,m
1338740155566, 0.2,myVeryOwnSensor,m
1338740155849, 0.2,myVeryOwnSensor,m
1338740156210, 0.2,myVeryOwnSensor,m
1338740156583, 0.2,myVeryOwnSensor,m
1338740157366, 0.2,myVeryOwnSensor,m
1338740157370, 0.2,myVeryOwnSensor,m
1338740157391, 0.2,myVeryOwnSensor,m
